_redis_id,sender_address,receiver_address,protocol,duration,timestamp,sPackets,sBytesMax,sBytesMin,sBytesAvg,sBytesTotal,sLoad,sPayloadMax,sPayloadMin,sPayloadAvg,sInterPacket,sttl,sAckRate,sFinRate,sPshRate,sRstRate,sUrgRate,sSynRate,sWin,sFragmentRate,rPackets,rBytesMax,rBytesMin,rBytesAvg,rBytesTotal,rLoad,rPayloadMax,rPayloadMin,rPayloadAvg,rInterPacket,rttl,rAckRate,rFinRate,rPshRate,rRstRate,rUrgRate,rSynRate,rWin,rFragmentRate,timestamp_iso,timestamp_unix_ms,_validation
1780441375236-0,192.168.0.1,192.168.0.200,IPV4-TCP,201.8473174571991,1780441172.1033974,842.0,3254.0,66.0,1395.6722090261283,1175156.0,46576.036374590396,3188.0,0.0,1329.6722090261283,0.24000870090035564,64.0,1.0,0.0,0.5083135391923991,0.0,0.0,0.0,502.0,0.0,829.0,88.0,66.0,68.85162846803378,57078.0,2262.6904889981743,22.0,0.0,2.851628468033776,0.24372491139720603,64.0,1.0,0.0,0.5162846803377563,0.0,0.0,0.0,6977.156815440289,0.0,2026-06-02 23:02:55,1780441375236.0,"{""valid"": true, ""schema_version"": ""1.0""}"
1780441367376-0,192.168.0.1,192.168.0.200,IPV4-TCP,0.04816246032714844,1780441366.2425697,7.0,123.0,66.0,84.85714285714286,594.0,98666.0558393727,57.0,0.0,17.714285714285715,0.008027076721191406,64.0,0.8571428571428571,0.0,0.42857142857142855,0.0,0.0,0.14285714285714285,9607.42857142857,0.0,5.0,74.0,66.0,71.0,355.0,321732.4805531547,7.0,0.0,3.4,0.0019788742065429688,64.0,1.0,0.0,0.6,0.0,0.0,0.2,13439.2,0.0,2026-06-02 23:02:47,1780441367375.0,"{""valid"": true, ""schema_version"": ""1.0""}"
